label,manifest
The Eighth Horse Race Meeting.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111627/manifest
سباق الخيل السادس.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111628/manifest
"התחרויות ימיות - הכח, וינה נגד מכבי, חיפה",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111647/manifest
"התחרות ארצית בשחיה, כדור-מים וקפיצות",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111648/manifest
"פתיחת העונה שחיה, כדור מים וקפיצות",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111652/manifest
תהלוכה של חברי המכבי בהשתתפות הסתדרויות הנוער הלאומי,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111675/manifest
כנוס ארצי חמישי,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111676/manifest
"סיום הכנוס החמישי של מכבי א""י - נשף ספורטיבי-נגינתי",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111677/manifest
כנס חצי היובל (חלק 1 ).,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111678/manifest
כנס חצי היובל (חלק 2 ),http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111679/manifest
"בחול המועד פסח - נשפי הכנוס, נשף התחרויות, נשף התעמולה",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111680/manifest
בקרו את הגמר החגיגי של הכנוס,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111682/manifest
פגישה של עולי המכבי ועולי המכבי הצעיר.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111683/manifest
נשף אמנותי וספורטיבי גדול - פתיחת שעון המכביה,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111684/manifest
עשור למכביה השניה - יום ספורט,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111692/manifest
גלוי דעת - מחאתה הנמרצת נגד ועד העיר,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111701/manifest
שעורי ההתעמלות לזמן הקיץ - מתחילים מיום א' ד' אייר,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111702/manifest
"אל הדור הצעיר והעם היושב בירושלים, התעמלות",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111703/manifest
הודעה - אחרי הפסקה קצרה בעבודה - השעור הראשון - תרגילים הכלליים לכנוס,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111704/manifest
החברים והחברות מתבקשים לבוא לאספה הכללית השנתית.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111705/manifest
"אל העם היושב בירושלים - התארגנות והתאחדות תחת רגלנו, לרגל יהודה המכבי.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111706/manifest
אחרי הפסקה קצרה בעבודה - על החברות לבוא.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111707/manifest
הצעירות והצעירים הרוצים להכנס למכבי יכולים להרשם.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111708/manifest
נשף תלבושת ורקודים,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111714/manifest
לכבוד חג המכבים - נשף הברים.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111715/manifest
מזמינה בזה את הקהל הירושלמי לקבל פני המכבים רוכבי המוטוצקלים החוזרים,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111716/manifest
לכבוד קבוצת המוטוציקלים - נשף רקודים,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111717/manifest
"יום המכבי ל""ג בעומר - התחרויות ספורטיביות",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111720/manifest
נשף לכבוד שובם של מכבי ארץ ישראל מפראג,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111721/manifest
נשף רקודים גדול,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111723/manifest
נשף התעמלותי,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111724/manifest
נשף המכבי - התכנית עשירה,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111725/manifest
"מפקד הנהלת יו""ר המועצה הטכנית הח' דוד אלמגור",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111728/manifest
מפקד בנוכחות יושבי-ראש עירית תל-אביב,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111729/manifest
לרגלי פתיחת המועדון הדירה החדשה - נשף,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111730/manifest
